":START_ID",":END_ID",":TYPE"
"conf/valuetools/Coppa14","topic_3","IS_ABOUT"
"conf/valuetools/Coppa14","topic_15","IS_ABOUT"
"conf/valuetools/Coppa14","topic_20","IS_ABOUT"
"conf/rlc/ChangFMD24","topic_0","IS_ABOUT"
"conf/rlc/ChangFMD24","topic_23","IS_ABOUT"
"conf/rlc/0001S024","topic_4","IS_ABOUT"
"conf/rlc/0001S024","topic_8","IS_ABOUT"
"conf/rlc/0001S024","topic_7","IS_ABOUT"
"conf/rlc/ZhouRS024","topic_3","IS_ABOUT"
"conf/rlc/ZhouRS024","topic_0","IS_ABOUT"
"conf/rlc/ZhouRS024","topic_23","IS_ABOUT"
"conf/rlc/AziziDA0VG24","topic_0","IS_ABOUT"
"conf/rlc/AziziDA0VG24","topic_23","IS_ABOUT"
"conf/rlc/AziziDA0VG24","topic_21","IS_ABOUT"
"conf/rlc/SaberM24","topic_2","IS_ABOUT"
"conf/rlc/SaberM24","topic_17","IS_ABOUT"
"conf/rlc/SaberM24","topic_28","IS_ABOUT"
"conf/rlc/AyoubSZCGSS24","topic_13","IS_ABOUT"
"conf/rlc/AyoubSZCGSS24","topic_1","IS_ABOUT"
"conf/rlc/AyoubSZCGSS24","topic_18","IS_ABOUT"
"conf/rlc/AgostinelliS24","topic_13","IS_ABOUT"
"conf/rlc/AgostinelliS24","topic_0","IS_ABOUT"
"conf/rlc/BoigeFQFRP24","topic_12","IS_ABOUT"
"conf/rlc/BoigeFQFRP24","topic_2","IS_ABOUT"
"conf/rlc/BoigeFQFRP24","topic_6","IS_ABOUT"
"conf/rlc/JordanNK0T24","topic_19","IS_ABOUT"
"conf/rlc/JordanNK0T24","topic_16","IS_ABOUT"
"conf/rlc/JordanNK0T24","topic_7","IS_ABOUT"
"conf/rlc/FungDHM24","topic_0","IS_ABOUT"
"conf/rlc/FungDHM24","topic_29","IS_ABOUT"
"conf/rlc/TalvitieSLHBZW24","topic_0","IS_ABOUT"
"conf/rlc/TalvitieSLHBZW24","topic_17","IS_ABOUT"
"conf/rlc/TalvitieSLHBZW24","topic_6","IS_ABOUT"
"conf/rlc/RongK24","topic_22","IS_ABOUT"
"conf/rlc/RongK24","topic_20","IS_ABOUT"
"conf/rlc/RongK24","topic_0","IS_ABOUT"
"conf/rlc/KanariosZ024","topic_13","IS_ABOUT"
"conf/rlc/KanariosZ024","topic_22","IS_ABOUT"
"conf/rlc/KanariosZ024","topic_17","IS_ABOUT"
"conf/rlc/JeongM24","topic_14","IS_ABOUT"
"conf/rlc/JeongM24","topic_7","IS_ABOUT"
"conf/rlc/JeongM24","topic_18","IS_ABOUT"
"conf/rlc/0003LLM24","topic_12","IS_ABOUT"
"conf/rlc/0003LLM24","topic_0","IS_ABOUT"
"conf/rlc/0003LLM24","topic_18","IS_ABOUT"
"conf/rlc/DunionA24","topic_25","IS_ABOUT"
"conf/rlc/DunionA24","topic_0","IS_ABOUT"
"conf/rlc/DunionA24","topic_8","IS_ABOUT"
"conf/rlc/HuangGJP24","topic_0","IS_ABOUT"
"conf/rlc/HuangGJP24","topic_27","IS_ABOUT"
"conf/rlc/PanahiPW024","topic_24","IS_ABOUT"
"conf/rlc/PanahiPW024","topic_25","IS_ABOUT"
"conf/rlc/PanahiPW024","topic_5","IS_ABOUT"
"conf/rlc/AsriST24","topic_13","IS_ABOUT"
"conf/rlc/AsriST24","topic_22","IS_ABOUT"
"conf/rlc/AsriST24","topic_0","IS_ABOUT"
"conf/rlc/BeckJVXW24","topic_0","IS_ABOUT"
"conf/rlc/BeckJVXW24","topic_8","IS_ABOUT"
"conf/rlc/BeckJVXW24","topic_10","IS_ABOUT"
"conf/rlc/MaytieDAV24","topic_0","IS_ABOUT"
"conf/rlc/MaytieDAV24","topic_4","IS_ABOUT"
"conf/rlc/MaytieDAV24","topic_6","IS_ABOUT"
"conf/rlc/WilliOFDC24","topic_3","IS_ABOUT"
"conf/rlc/WilliOFDC24","topic_24","IS_ABOUT"
"conf/rlc/WilliOFDC24","topic_10","IS_ABOUT"
"conf/rlc/IshfaqT0LLMP024","topic_12","IS_ABOUT"
"conf/rlc/IshfaqT0LLMP024","topic_0","IS_ABOUT"
"conf/rlc/IshfaqT0LLMP024","topic_2","IS_ABOUT"
"conf/rlc/Meyer0M24","topic_11","IS_ABOUT"
"conf/rlc/Meyer0M24","topic_3","IS_ABOUT"
"conf/rlc/Meyer0M24","topic_0","IS_ABOUT"
"conf/rlc/0012LX24","topic_11","IS_ABOUT"
"conf/rlc/0012LX24","topic_19","IS_ABOUT"
"conf/rlc/0012LX24","topic_27","IS_ABOUT"
"conf/rlc/BeckerMON24","topic_25","IS_ABOUT"
"conf/rlc/BeckerMON24","topic_8","IS_ABOUT"
"conf/rlc/BeckerMON24","topic_1","IS_ABOUT"
"conf/rlc/CousinsAL024","topic_14","IS_ABOUT"
"conf/rlc/CousinsAL024","topic_0","IS_ABOUT"
"conf/rlc/CousinsAL024","topic_23","IS_ABOUT"
"conf/rlc/ZhangX24","topic_3","IS_ABOUT"
"conf/rlc/ZhangX24","topic_0","IS_ABOUT"
"conf/rlc/ZhangX24","topic_17","IS_ABOUT"
"conf/rlc/VoelckerKGF24","topic_12","IS_ABOUT"
"conf/rlc/VoelckerKGF24","topic_0","IS_ABOUT"
"conf/rlc/VoelckerKGF24","topic_29","IS_ABOUT"
"conf/rlc/Luo0JZ24","topic_0","IS_ABOUT"
"conf/rlc/Luo0JZ24","topic_2","IS_ABOUT"
"conf/rlc/Luo0JZ24","topic_17","IS_ABOUT"
"conf/rlc/MattsonAB24","topic_9","IS_ABOUT"
"conf/rlc/MattsonAB24","topic_0","IS_ABOUT"
"conf/rlc/MattsonAB24","topic_26","IS_ABOUT"
"conf/rlc/KapoorF0C24","topic_13","IS_ABOUT"
"conf/rlc/KapoorF0C24","topic_20","IS_ABOUT"
"conf/rlc/KapoorF0C24","topic_19","IS_ABOUT"
"conf/rlc/CramerFST24","topic_0","IS_ABOUT"
"conf/rlc/CramerFST24","topic_28","IS_ABOUT"
"conf/rlc/CramerFST24","topic_27","IS_ABOUT"
"conf/rlc/Almuzairee0C24","topic_11","IS_ABOUT"
"conf/rlc/Almuzairee0C24","topic_0","IS_ABOUT"
"conf/rlc/Almuzairee0C24","topic_2","IS_ABOUT"
"conf/rlc/ZeitlerMMS024","topic_22","IS_ABOUT"
"conf/rlc/ZeitlerMMS024","topic_6","IS_ABOUT"
"conf/rlc/ZeitlerMMS024","topic_18","IS_ABOUT"
"conf/rlc/DokoYBP24","topic_0","IS_ABOUT"
"conf/rlc/DokoYBP24","topic_2","IS_ABOUT"
"conf/rlc/DokoYBP24","topic_1","IS_ABOUT"
